Archivo,fmu(SFH),fmu(IR),mu,tauv,sSFR,M*,Ldust,T_W^BC,T_C^ISM,xi_C^tot,xi_PAH^tot,xi_MIR^tot,xi_W^tot,tvism,Mdust,SFR,A_V,age_M,Tdust,lg(M/Lh),lg(M/Lk),t_BC,n_BC,n_ISM,EbPrime
/content/drive/My Drive/Colab Notebooks/MAGPHYS/0050_c.fit,0.204,0.072,0.136,1.322,2.212e-09,434500000.0,7545000000.0,61.4,29.4,0.06,0.011,0.099,0.83,0.18,235000.0,0.9611,0.34,8.553,59.153,-0.348,-0.13,10.0,1.3,0.7,0.842
/content/drive/My Drive/Colab Notebooks/MAGPHYS/0086_c.fit,0.152,0.297,0.147,0.886,7.839e-09,529400000.0,36030000000.0,59.4,21.3,0.282,0.016,0.083,0.618,0.131,21040000.0,4.15,0.339,7.966,47.386,-0.55,-0.31,10.0,1.3,0.7,0.304
/content/drive/My Drive/Colab Notebooks/MAGPHYS/0101_c.fit,0.06,0.118,0.112,0.358,1.184e-09,723700000.0,6898000000.0,76.7,31.1,0.111,0.046,0.053,0.79,0.04,193600.0,0.8572,0.124,8.862,70.802,-0.33,-0.127,10.0,1.3,0.7,0.024
/content/drive/My Drive/Colab Notebooks/MAGPHYS/0233_c.fit,0.13,0.303,0.137,0.202,9.907e-10,972300000.0,4149000000.0,70.0,34.7,0.295,0.018,0.067,0.62,0.028,163000.0,0.9633,0.042,8.864,58.311,0.012,0.253,10.0,1.3,0.7,0.169
/content/drive/My Drive/Colab Notebooks/MAGPHYS/0605_c.fit,0.323,0.439,0.393,1.122,3.769e-09,516100000.0,18230000000.0,62.7,39.2,0.434,0.012,0.108,0.447,0.441,585300.0,1.946,0.606,8.314,50.912,-0.371,-0.161,10.0,1.3,0.7,1.205
/content/drive/My Drive/Colab Notebooks/MAGPHYS/0152_c.fit,0.1,0.297,0.113,1.929,7.175e-10,366900000.0,4948000000.0,59.4,21.3,0.282,0.016,0.083,0.618,0.217,2889000.0,0.2632,0.903,9.907,47.386,0.014,0.184,10.0,1.3,0.7,0.171
/content/drive/My Drive/Colab Notebooks/MAGPHYS/0174_c.fit,0.097,0.023,0.199,0.04,8.65e-10,488000000.0,479300000.0,79.2,39.4,0.02,0.003,0.102,0.875,0.008,2214.0,0.4221,0.013,8.857,78.259,-0.241,-0.021,10.0,1.3,0.7,0.526
/content/drive/My Drive/Colab Notebooks/MAGPHYS/0203_c.fit,0.261,0.457,0.2,2.885,1.839e-10,3707000000.0,20450000000.0,76.9,22.0,0.447,0.008,0.061,0.483,0.576,15120000.0,0.6817,0.84,9.246,50.324,0.108,0.31,10.0,1.3,0.7,0.237
/content/drive/My Drive/Colab Notebooks/MAGPHYS/0227_c.fit,0.033,0.094,0.11,0.393,1.158e-08,157100000.0,36670000000.0,40.0,24.0,0.091,0.108,0.001,0.8,0.043,8046000.0,1.82,0.314,7.582,38.37,-1.199,-1.021,10.0,1.3,0.7,1.059
/content/drive/My Drive/Colab Notebooks/MAGPHYS/0457_c.fit,0.866,0.727,0.28,0.114,3.377e-11,318400000.0,212400000.0,75.4,38.7,0.721,0.018,0.032,0.229,0.032,9363.0,0.01075,0.035,8.265,47.45,-0.364,-0.179,10.0,1.3,0.7,0.051
